index,dengue_total,surface_temperature_change,CO2_emissions,Tree_covered_areas,solar_electricity_use
CAMBODIA_2001,10569.0,0.5920000000000001,2.1790000000000003,7832.4065,0.268
CAMBODIA_2002,12471.0,0.654,2.241,7687.5529000000015,0.41
CAMBODIA_2003,12081.0,0.642,2.406,7638.0741,0.47600000000000003
CAMBODIA_2004,10049.0,0.54,2.416,7519.280900000002,0.522
CAMBODIA_2005,9042.0,0.6779999999999999,2.707,7447.0895,0.787
CAMBODIA_2006,16669.0,0.693,3.022,7407.1984,1.005
CAMBODIA_2007,39851.0,0.574,3.6689999999999996,7380.718599999998,2.256
CAMBODIA_2008,9823.0,0.392,3.742,7331.5987,2.758
CAMBODIA_2009,11699.0,0.375,4.463,7296.7015999999985,3.103
CAMBODIA_2010,12500.0,1.1520000000000001,4.849,7251.2469,3.185
CAMBODIA_2011,31337.0,0.354,5.02,7181.161200000001,5.654
CAMBODIA_2012,42352.0,0.857,5.275,7148.5521,6.797000000000001
CAMBODIA_2013,34835.0,0.9990000000000001,5.324,7090.1332,8.521
CAMBODIA_2014,7401.0,0.5489999999999999,6.582999999999999,7072.178900000001,13.321
CAMBODIA_2015,30466.0,1.0390000000000001,7.928999999999999,7072.4459000000015,17.674
CAMBODIA_2016,14689.0,1.331,9.788,7077.25,26.627
CAMBODIA_2017,9698.0,0.9940000000000001,10.619000000000002,7087.763099999999,32.859
CAMBODIA_2018,34871.0,0.655,11.651,7064.8168,43.17
CAMBODIA_2019,136871.0,1.37,NaN,7043.5345,120.455
CAMBODIA_2020,11792.0,1.275,NaN,7047.3295,316.09
CAMBODIA_2021,1903.0,0.7859999999999999,NaN,NaN,637.227
CAMBODIA_2022,12581.0,0.8859999999999999,NaN,NaN,NaN
CAMBODIA_2023,NaN,1.256,NaN,NaN,NaN
